!-------------------------run # 1 -------------------------!

MVC found so far has 989 elements       process -1, thread 5
MVC found so far has 987 elements       process -1, thread 8
MVC found so far has 986 elements      process -1, thread 12
MVC found so far has 985 elements      process -1, thread 25
MVC found so far has 984 elements      process -1, thread 28
MVC found so far has 983 elements      process -1, thread 20
MVC found so far has 982 elements      process -1, thread 35
MVC found so far has 980 elements       process -1, thread 6
MVC found so far has 979 elements      process -1, thread 16
MVC found so far has 978 elements      process -1, thread 23
MVC found so far has 977 elements      process -1, thread 18
MVC found so far has 976 elements      process -1, thread 13
MVC found so far has 975 elements       process -1, thread 9
MVC found so far has 973 elements      process -1, thread 19
MVC found so far has 971 elements       process -1, thread 0
MVC found so far has 970 elements       process -1, thread 3
MVC found so far has 969 elements      process -1, thread 15
MVC found so far has 968 elements      process -1, thread 25
MVC found so far has 967 elements      process -1, thread 16
MVC found so far has 966 elements      process -1, thread 35
MVC found so far has 961 elements      process -1, thread 21
MVC found so far has 960 elements      process -1, thread 17
MVC found so far has 959 elements       process -1, thread 7
MVC found so far has 958 elements       process -1, thread 1
MVC found so far has 957 elements      process -1, thread 10
MVC found so far has 956 elements      process -1, thread 14
MVC found so far has 955 elements      process -1, thread 15
MVC found so far has 954 elements      process -1, thread 32
MVC found so far has 953 elements      process -1, thread 34
MVC found so far has 950 elements       process -1, thread 4
MVC found so far has 949 elements       process -1, thread 4
MVC found so far has 948 elements       process -1, thread 4
