VC = 985      process 1, thread 0, Wed May  5 21:01:24 2021
VC = 980      process 1, thread 3, Wed May  5 21:01:24 2021
VC = 983      process 3, thread 0, Wed May  5 21:01:24 2021
VC = 980      process 3, thread 0, Wed May  5 21:01:24 2021
VC = 979      process 3, thread 0, Wed May  5 21:01:24 2021
VC = 979      process 1, thread 3, Wed May  5 21:01:24 2021
VC = 978      process 3, thread 0, Wed May  5 21:01:24 2021
VC = 977      process 3, thread 3, Wed May  5 21:01:24 2021
VC = 976      process 3, thread 1, Wed May  5 21:01:24 2021
VC = 971      process 3, thread 3, Wed May  5 21:01:24 2021
VC = 968      process 3, thread 2, Wed May  5 21:01:24 2021
VC = 967      process 3, thread 2, Wed May  5 21:01:25 2021
VC = 965      process 1, thread 3, Wed May  5 21:01:25 2021
VC = 964      process 1, thread 3, Wed May  5 21:01:25 2021
VC = 963      process 1, thread 3, Wed May  5 21:01:26 2021
