!-------------------------run # 1 -------------------------!

MVC found so far has 989 elements       process -1, thread 4
MVC found so far has 987 elements       process -1, thread 5
MVC found so far has 986 elements       process -1, thread 5
MVC found so far has 985 elements       process -1, thread 4
MVC found so far has 984 elements       process -1, thread 4
MVC found so far has 983 elements       process -1, thread 5
MVC found so far has 980 elements       process -1, thread 5
MVC found so far has 977 elements       process -1, thread 4
MVC found so far has 976 elements       process -1, thread 3
MVC found so far has 971 elements       process -1, thread 0
MVC found so far has 968 elements       process -1, thread 5
MVC found so far has 967 elements       process -1, thread 5
MVC found so far has 966 elements       process -1, thread 2
MVC found so far has 964 elements       process -1, thread 2
MVC found so far has 962 elements       process -1, thread 4
MVC found so far has 961 elements       process -1, thread 3
MVC found so far has 950 elements       process -1, thread 1
MVC found so far has 949 elements       process -1, thread 1
MVC found so far has 948 elements       process -1, thread 1
MVC found so far has 947 elements       process -1, thread 1
