VC = 173      process 1, thread 3, Tue May  4 10:13:58 2021
VC = 172      process 1, thread 4, Tue May  4 10:13:58 2021
VC = 170      process 1, thread 2, Tue May  4 10:13:58 2021
VC = 167      process 1, thread 1, Tue May  4 10:13:58 2021
VC = 166      process 1, thread 5, Tue May  4 10:13:58 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 0, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 1, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 4, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 3, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 5, Tue May  4 10:17:13 2021
VC = 211      process 0, thread 2, Tue May  4 10:17:13 2021
