MVC found so far has 667 elements        process 1, thread 0
MVC found so far has 662 elements        process 4, thread 0
MVC found so far has 661 elements        process 4, thread 0
MVC found so far has 654 elements        process 5, thread 0
MVC found so far has 653 elements        process 5, thread 0
MVC found so far has 647 elements        process 3, thread 0
MVC found so far has 646 elements        process 3, thread 0
MVC found so far has 645 elements        process 3, thread 0
MVC found so far has 638 elements        process 2, thread 0
MVC found so far has 637 elements        process 2, thread 0
MVC found so far has 636 elements        process 2, thread 0
MVC found so far has 635 elements        process 2, thread 0
